ExperimentName,Subject,Session,DataFile.Basename,DebugSession,Display.RefreshRate,ExternalStimulus,Group,RandomSeed,SessionDate,SessionStartDateTimeUtc,SessionTime,TrainingSession,UsingfMRI,Run,AvgRunACC,AvgRunReturnACC,AvgRunRT,AvgTotalACC,AvgTotalRT,Intensity,Painful,PainfulRating.DEVICE,Procedure[Run],Rest.DEVICE,RunBonus,RunList,RunList.Cycle,RunList.Sample,Running[Run],Salience,TotalBonus,Unpleasantness,Block,AvgBlockACC,AvgBlockRT,BlockACC,BlockBonus,BlockList,BlockList.Cycle,BlockList.Sample,BlockTrials,NumCorrect,NumTrials,Procedure[Block],Running[Block],Task,Trials1,Trials2,Trials3,Trial,CorrectResponse,DisplayStim.ACC,DisplayStim.CRESP,DisplayStim.DEVICE,DisplayStim.DurationError,DisplayStim.OnsetDelay,DisplayStim.OnsetTime,DisplayStim.OnsetToOnsetTime,DisplayStim.RESP,DisplayStim.RT,DisplayStim.RTTime,ITIDur,Match,Phase,PhaseSwitch,Procedure[Trial],Running[Trial],StimPath,Stimulus,TrialList1,TrialList1.Cycle,TrialList1.Sample,TrialList2,TrialList2.Cycle,TrialList2.Sample,TrialList3,TrialList3.Cycle,TrialList3.Sample
ConcurrentTasks,22,4,ConcurrentTasks-Data-22-4,no,60.039,pain,1,-1493553276,07-13-2018,7/13/2018 8:47:29 PM,16:47:29,no,no,1,,,,,,,,,RunProc,,,1,1,1,RunList,,,,4,100,589.7,10,$7.15 ,54,2,4,10,,,BlockProc,BlockList,switch,4,3,3,6,j,1,j,Keyboard,0,34,236057,516,j,679,236736,3000,random,2,,TrialProc,TrialList2,Stimulus\DIAMONDL.png,3,,,,2,1,14,,,
ConcurrentTasks,22,4,ConcurrentTasks-Data-22-4,no,60.039,pain,1,-1493553276,07-13-2018,7/13/2018 8:47:29 PM,16:47:29,no,no,1,,,,,,,,,RunProc,,,1,1,1,RunList,,,,4,100,589.7,10,$7.15 ,54,2,4,10,,,BlockProc,BlockList,switch,4,3,3,7,j,1,j,Keyboard,0,33,239590,517,j,618,240208,3200,random,2,,TrialProc,TrialList2,Stimulus\DIAMONDT.png,0,,,,2,1,15,,,
ConcurrentTasks,22,4,ConcurrentTasks-Data-22-4,no,60.039,pain,1,-1493553276,07-13-2018,7/13/2018 8:47:29 PM,16:47:29,no,no,1,,,,,,,,,RunProc,,,1,1,1,RunList,,,,4,100,589.7,10,$7.15 ,54,2,4,10,,,BlockProc,BlockList,switch,4,3,3,8,f,1,f,Keyboard,0,18,243308,516,f,652,243960,2600,match,3,3,TrialProc,TrialList3,Stimulus\SQUARET.png,0,,,,,,,1,1,9
ConcurrentTasks,22,4,ConcurrentTasks-Data-22-4,no,60.039,pain,1,-1493553276,07-13-2018,7/13/2018 8:47:29 PM,16:47:29,no,no,1,,,,,,,,,RunProc,,,1,1,1,RunList,,,,4,100,589.7,10,$7.15 ,54,2,4,10,,,BlockProc,BlockList,switch,4,3,3,9,j,1,j,Keyboard,0,34,246442,516,j,566,247008,2600,random,3,,TrialProc,TrialList3,Stimulus\SQUAREB.png,2,,,,,,,2,1,10
ConcurrentTasks,22,4,ConcurrentTasks-Data-22-4,no,60.039,pain,1,-1493553276,07-13-2018,7/13/2018 8:47:29 PM,16:47:29,no,no,1,,,,,,,,,RunProc,,,1,1,1,RunList,,,,4,100,589.7,10,$7.15 ,54,2,4,10,,,BlockProc,BlockList,switch,4,3,3,10,f,1,f,Keyboard,0,33,249575,517,f,433,250008,3400,match,3,,TrialProc,TrialList3,Stimulus\SQUAREL.png,3,,,,,,,1,1,11
ConcurrentTasks,22,4,ConcurrentTasks-Data-22-4,no,60.039,pain,1,-1493553276,07-13-2018,7/13/2018 8:47:29 PM,16:47:29,no,no,1,,,,,,,,,RunProc,,,1,1,1,RunList,,,,5,90,494.4,9,$4.20 ,40,2,5,10,,,BlockProc,BlockList,switch,4,4,2,1,f,1,f,Keyboard,0,35,256510,517,f,426,256936,3000,match,1,1,TrialProc,TrialList1,Stimulus\SQUARET.png,0,1,1,15,,,,,,
ConcurrentTasks,22,4,ConcurrentTasks-Data-22-4,no,60.039,pain,1,-1493553276,07-13-2018,7/13/2018 8:47:29 PM,16:47:29,no,no,1,,,,,,,,,RunProc,,,1,1,1,RunList,,,,5,90,494.4,9,$4.20 ,40,2,5,10,,,BlockProc,BlockList,switch,4,4,2,2,j,1,j,Keyboard,0,34,260044,516,j,619,260663,2600,random,1,,TrialProc,TrialList1,Stimulus\SQUAREB.png,2,2,1,16,,,,,,
ConcurrentTasks,22,4,ConcurrentTasks-Data-22-4,no,60.039,pain,1,-1493553276,07-13-2018,7/13/2018 8:47:29 PM,16:47:29,no,no,1,,,,,,,,,RunProc,,,1,1,1,RunList,,,,5,90,494.4,9,$4.20 ,40,2,5,10,,,BlockProc,BlockList,switch,4,4,2,3,f,1,f,Keyboard,0,34,263178,516,f,470,263648,3000,match,1,,TrialProc,TrialList1,Stimulus\SQUAREL.png,3,1,1,17,,,,,,
ConcurrentTasks,22,4,ConcurrentTasks-Data-22-4,no,60.039,pain,1,-1493553276,07-13-2018,7/13/2018 8:47:29 PM,16:47:29,no,no,1,,,,,,,,,RunProc,,,1,1,1,RunList,,,,5,90,494.4,9,$4.20 ,40,2,5,10,,,BlockProc,BlockList,switch,4,4,2,4,f,1,f,Keyboard,0,33,266711,517,f,424,267135,3400,match,1,,TrialProc,TrialList1,Stimulus\SQUAREE.png,4,1,1,18,,,,,,
ConcurrentTasks,22,4,ConcurrentTasks-Data-22-4,no,60.039,pain,1,-1493553276,07-13-2018,7/13/2018 8:47:29 PM,16:47:29,no,no,1,,,,,,,,,RunProc,,,1,1,1,RunList,,,,5,90,494.4,9,$4.20 ,40,2,5,10,,,BlockProc,BlockList,switch,4,4,2,5,f,1,f,Keyboard,0,18,270629,517,f,498,271127,2600,match,2,2,TrialProc,TrialList2,Stimulus\DIAMONDT.png,0,,,,1,1,16,,,
ConcurrentTasks,22,4,ConcurrentTasks-Data-22-4,no,60.039,pain,1,-1493553276,07-13-2018,7/13/2018 8:47:29 PM,16:47:29,no,no,1,,,,,,,,,RunProc,,,1,1,1,RunList,,,,5,90,494.4,9,$4.20 ,40,2,5,10,,,BlockProc,BlockList,switch,4,4,2,6,j,1,j,Keyboard,0,34,273763,516,j,580,274343,3200,random,2,,TrialProc,TrialList2,Stimulus\DIAMONDL.png,3,,,,2,1,17,,,
ConcurrentTasks,22,4,ConcurrentTasks-Data-22-4,no,60.039,pain,1,-1493553276,07-13-2018,7/13/2018 8:47:29 PM,16:47:29,no,no,1,,,,,,,,,RunProc,,,1,1,1,RunList,,,,5,90,494.4,9,$4.20 ,40,2,5,10,,,BlockProc,BlockList,switch,4,4,2,7,f,1,f,Keyboard,0,34,277497,516,f,398,277895,3000,match,2,,TrialProc,TrialList2,Stimulus\DIAMONDE.png,4,,,,1,1,18,,,
ConcurrentTasks,22,4,ConcurrentTasks-Data-22-4,no,60.039,pain,1,-1493553276,07-13-2018,7/13/2018 8:47:29 PM,16:47:29,no,no,1,,,,,,,,,RunProc,,,1,1,1,RunList,,,,5,90,494.4,9,$4.20 ,40,2,5,10,,,BlockProc,BlockList,switch,4,4,2,8,f,1,f,Keyboard,0,33,281030,517,f,513,281543,2600,match,2,,TrialProc,TrialList2,Stimulus\DIAMONDT.png,0,,,,1,1,19,,,
